Bio,Label,Year,Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Paul Prinsloo is a Research Professor in Open and Distance Learning (ODL) in the College of Economic and Management Sciences, University of South Africa (Unisa). His academic background includes fields as diverse as theology, art history, business management, online learning, and religious studies. Paul is an established researcher and has published numerous articles in the fields of teaching and learning, student success in distance education contexts, learning analytics, and curriculum development. His current research focuses on the collection, analysis and use of student data in learning analytics, graduate supervision and digital identity. Paul was born curious and in trouble. Nothing has changed since then. He blogs athttps://opendistanceteachingandlearning.wordpress.com/ and his Twitter alias is @14prinsp",M,2018,Paul Prinsloo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I am mostly interested in abstract interpretation and approximation methods with applications in any area of computer science, from semantics to static program analysis, software and hardware verification, model-checking and abstract model-checking, program transformation and optimization, software watermarking and code obfuscation, complexity and computability, logic and constraint-based programming, computer virology, security and safety critical systems. Recently I am more and more interested in applying these methods in security, digital asset protection, and in malware analysis. In all these fields I am interested in studying systematic methods for approximating undecidable or highly complex problems by means of formal methods such as abstract interpretation. I believe that abstract interpretation represents a unifying theory for understanding most phenomena connected with computation. In pure math I am interested in lattice theory and closure systems. If you want to have a deeper look on some sort of manifesto of my research, check here my dream (…or nightmare) or check some of my invited lectures at MFPS’02 [G02], SAS’08 [GM08] and SEFM’08 [G08].",M,2017,Roberto Giacobazzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Derek Dreyer is a professor of computer science at the Max Planck Institute for Software Systems (MPI-SWS), and recipient of the 2017 ACM SIGPLAN Robin Milner Young Researcher Award. His research runs the gamut from the type theory of high-level functional languages, down to the verification of compilers and low-level concurrent programs under relaxed memory models. He is currently leading the RustBelt project, which focuses on building the first formal foundations for the Rust programming language. He also knows a thing or two about Scotch whisky.",M,2018,Derek Dreyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gordon David Plotkin, FRS, FRSE (born 9 September 1946) is a theoretical computer scientist in the School of Informatics at the University of Edinburgh. Plotkin is probably best known for his introduction of structural operational semantics (SOS) and his work on denotational semantics. In particular, his notes on A Structural Approach to Operational Semantics were very influential.Plotkin was elected a Fellow of the Royal Society in 1992, is a Fellow of the Royal Society of Edinburgh and a Member of the Academia Europæa. He is also a winner of the Royal Society Wolfson Research Merit Award. Plotkin received the 2012 Royal Society Milner Award for “his fundamental research into programming semantics with lasting impact on both the principles and design of programming languages.",M,2018,Gordon David Plotkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sarah Lawsky is Professor of Law at Northwestern Pritzker School of Law. She teaches or has taught federal income tax, corporate tax, partnership tax, tax policy, tax deals, and contracts. Her research focuses on tax law and on the application of formal logic and artificial intelligence to the law.Prior to joining Northwestern Pritzker in 2016, Lawsky taught at UC Irvine School of Law and George Washington University Law School, and as an adjunct in NYU’s tax LL.M. program. Before beginning her teaching career, she practiced tax law in New York.Lawsky received her B.A. from the University of Chicago, her J.D. from Yale Law School, her LL.M. in tax from NYU School of Law, and her Ph.D. in philosophy from the UC Irvine Department of Logic and Philosophy of Science.",F,2018,Sarah Lawsky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prof. Anna Linda Musacchio Adorisio is Associate Professor of the Department of Management, Society and Communication at Copenhagen Business School, Denmark. She has used a narrative interpretive lens to investigate the cultural and historical context of the global transformations of the banking industry in the past thirty years, namely deregulation, internationalization and innovation. She is interested in interpretive methodologies and in the debate over the place of historical methods in business studies.",F,2018,Anna Linda Musacchio Adorisio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Paola Maria Torrioni is Associate Professor in Sociology of Cultural Processes at Department of Cultures, Politics and Society, University of Turin, Italy. Her research interests and experiences are mainly in sociology of cultural processes and sociology of family. She has technical skills in quantitative analysis and in longitudinal qualitative analysis. Actually she is interested in developing mixed-methods research programs. She is involved in national and international comparative research projects focused on transition to adulthood and autonomy, socialization processes; gender studies (see for instance http://www.except-project.eu ).",F,2018,Paola Maria Torrioni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Professor Marina van Geenhuizen has been a Full Professor at Faculty of Technology, Policy and Management at TU Delft in the Netherlands since 2007. She was awarded her PhD from Erasmus University Rotterdam in applied economics. Professor van Geenhuizen’s research focus is on responsible/sustainable innovation and transition in energy, transport and medical/healthcare systems. Her focus is also on effectiveness in knowledge commercialization, including growth of university spin-off firms, living labs, networks, incubators and science parks, and contribution to the regional/urban knowledge economy. Theoretical perspectives include resource-based view, capabilities and social capital, and urban innovation theory. The approach is often quantitative modelling, eventually illustrated with qualitative case studies.",F,2018,Marina van Geenhuizen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dr Sylvester Arnab is a Professor of Game Science and a Research and Innovation Lead at Coventry University's Disruptive Media Learning Lab (DMLL). Game Science refers to playful and gameful methodologies for user engagement, experience design, and behavioural change, which include investigations of the impact of applied gaming, serious gaming, game-based intervention, gamification, and playful techniques in various domains, underpinned by pedagogical, motivational, and psychological theories and practices. With over 10 years research experience in simulation, serious games, and gamification combined, his research interests include gameful, playful, and persuasive designs that transform ordinary tasks into extraordinary experiences. He has a large portfolio of funded projects (https://sylvesterarnab.com/featured-projects/) and publications (https://sylvesterarnab.com/publications/) in the domain. He co-founded the GameChangers – Game Design Thinking initiative (gamify.org.uk), which is also being adopted and adapted in other countries, such as Malaysia (myCapsule.my).",M,2018,Sylvester Arnab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dr Jacob Habgood, Director of the Steel Minions Game Studio, Sheffield Hallam University. Jake left his job as a PlayStation programmer in 2003 to take up a PhD scholarship in Game-Based Learning. He designed and programmed ""Zombie Division"", a research tool which became central to the debate around ""chocolate-covered broccoli"" in the GBL literature. He also wrote ""The Game Maker's Apprentice"", which has sold over 100,000 copies, and helped to inspire a new generation of game developers. Today he is the Director of The Steel Minions Game Studio: a research lab developing educational games for over a million pounds of funded research projects, including some for the latest incarnation of Sony's games console.",M,2018,Jacob Habgood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eric Sanchez is professor in educational sciences at the Laboratory for educational innovation from the University of Fribourg (Switzerland) and co-editor for the Springer Encyclopedia for education and information technologies (section: game & education). His research interests include game-based learning with a sound experience in design-based research and playing analytics. Before coming to the University of Fribourg, Eric Sanchez taught in the technology and education programs at the University of Sherbrooke (Québec) and ENS de Lyon (France). He has carried out funded research for the Social Sciences and Humanities Research Council of Canada, the French National Research Agency and the Swiss National Science Foundation.",M,2018,Eric Sanchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Claire Mathieu works on algorithms, particularly the design of approximation schemes for NP-hard combinatorial optimization problems. She is employed by CNRS (Centre National de la Recherche Scientifique) in Paris, France. Her current research interests include approximation algorithms for planar graphs and for Euclidean problems; probabilistic models for social networks; hierarchies of semi-definite programming relaxations; network tomography; scheduling to minimize energy; online algorithms; computing with noisy information; facility location and clustering; and occasional forays into algorithmic game theory.",F,2018,Claire Mathieu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tim Roughgarden is a Professor of Computer Science and (by courtesy) Management Science and Engineering at Stanford University. He joined the Stanford faculty in 2004, following a PhD at Cornell and a postdoc at UC Berkeley. His research interests include the many connections between computer science and economics, as well as the design, analysis, applications, and limitations of algorithms. For his research, he has been awarded the ACM Grace Murray Hopper Award, the Presidential Early Career Award for Scientists and Engineers (PECASE), the Kalai Prize in Computer Science and Game Theory, the Social Choice and Welfare Prize, the Mathematical Programming Society’s Tucker Prize, and the EATCS-SIGACT Gödel Prize. He was an invited speaker at the 2006 International Congress of Mathematicians, the Shapley Lecturer at the 2008 World Congress of the Game Theory Society, and a Guggenheim Fellow in 2017. His books include Twenty Lectures on Algorithmic Game Theory (2016) and Algorithms Illuminated (2017).",M,2018,Tim Roughgarden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dr. Rommie Amaro is a native of the south side of Chicago and earned her bachelor’s degree in chemical engineering with high distinction from the University of Illinois at Urbana-Champaign in 1999. After graduating, she joined Kraft Foods, Inc. as an Associate Research Engineer in Glenview, Illinois, working mainly on Philadelphia Cream Cheese productivity and commercialization projects. After two years of working with condensed matter, she returned to Urbana to attend graduate school in Chemistry.Dr. Amaro earned her Ph.D. in chemistry in the lab of Professor Zan Luthey-Schulten, where she worked mainly on computational methods to reconstruct free energy profiles from non-equilibrium pulling experiments of ammonia conduction through a beta-barrel protein involved in histidine biosynthesis and studying mechanisms of allosteric regulation in proteins. While a graduate student, she also worked closely with the National Institutes of Health (NIH) Resource for Macromolecular Modeling and Bioinformatics, led by Professor Klaus Schulten, where she helped develop a series of workshops that have now been taught worldwide.After earning her Ph.D., Dr. Amaro went on to receive a NIH Kirschstein-National Research Service Award (NRSA) postdoctoral fellowship and worked under the tuteledge of the Howard Hughes Medical Investigator and National Academy of Sciences member, Professor J. Andrew McCammon at University of California, San Diego (UCSD).In 2009, Dr. Amaro started her independent research career in the Deparments of Pharmaceutical Sciences, Computer Science, and Chemistry at the University of California, Irvine. In 2010 she was selected as an NIH New Innovator for her work developing cutting-edge computational methods to help discover new drugs. The following year, she received the Presidential Early Career Award for Scientists and Engineers. In 2012, Dr. Amaro opened her lab at UCSD in the Department of Chemistry and Biochemistry.Research in the Amaro Lab is broadly concerned with the development and application of state-of-the-art computational methods to address outstanding questions in drug discovery and molecular-level biophysics. Her lab focuses mainly on targeting neglected diseases, Chlamydia, influenza, and cancer, and works closely with experimental collaborators to catalyze the discovery of new potential therapeutic agents. The Amaro Lab is also keenly interested in developing new multiscale simulation methods and novel modeling paradigms that scale from the level of atoms to whole cells, and beyond.",F,2016,Rommie Amaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B.S. in Mathematics and Eng. and Applied Science (CS), Caltech, 2003,Ph.D. in Computer Science, Carnegie Mellon, 2008, under Prof. Guy Blelloch,Member of the IAS in Avi Wigderson's group, 2008-2009,Computing Innovations Fellow, Berkeley, working with Prof. Satish Rao, 2009-2011,Part-time Research Associate at Stanford 2011-2013,Part-time Assistant Research Engineer at Berkeley, 2011-2013,Assistant Professor in Computer Science, Stanford University, 2013-2016",F,2017,Virginia Vassilevska Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Timothy Chan is a Founder Professor in Computer Science at the University of Illinois at Urbana-Champaign. Previously, from 1999 to 2016, he taught at the University of Waterloo. He received his B.A. from Rice University in 1992 and his Ph.D. from the University of British Columbia in 1995. He has broad interests in algorithms and data structures, with near 120 conference publications and 80 journal publications, and is especially known for his work in computational geometry. He was a winner of the NSERC Doctoral Prize, was a plenary speaker at many conferences (including SODA 2011, ISAAC 2012, WADS 2013, CCCG 2014, and SoCG/STOC 2016), has served on numerous program committees, and is on the editorial boards of several journals (including Discrete and Computational Geometry and SIAM Journal on Computing).",M,2017,TIMOTHY M. CHAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prof. Vespignani received his undergraduate degree and Ph.D., both in physics and both from the University of Rome “La Sapienza,” in 1990 and 1994 respectively. He completed his postdoctoral research at Yale University and Leiden University. Prof. Vespignani worked at the International Center for Theoretical Physics (UNESCO) in Trieste and at the University of Paris-Sud in France as a member of the National Council for Scientific Research (CNRS) before moving to Indiana University in 2004. Before joining Northeastern University Vespignani was J.H.Rudy Professor of Informatics and Computing at Indiana University and serving as the Director of the Center for Complex Networks and Systems Research and the Associate Director of the Pervasive Technology Institute. Vespignani is elected fellow of the American Physical Society, member of the Academy of Europe, and fellow of the Institute for Quantitative Social Sciences at Harvard University. He is serving in the board/leadership of a variety of professional association and journals and the Institute for Scientific Interchange Foundation.Vespignani has worked in a number of areas of non-equilibrium particle systems, statistical physics and computational sciences, including characterization of non-equilibrium phase transitions, fractal growth and self-organized criticality. Recently Vespignani’s research activity focuses on the interdisciplinary application of statistical and numerical simulation methods in the analysis of epidemic and spreading phenomena and the study of biological, social and technological networks. For several years he has been working on the characterization and modeling of the Internet, the WWW and large-scale information networks. He is now focusing his research activity in modeling the spatial spread of epidemics, including the realistic and data-driven computational modeling of emerging infectious diseases, the resilience of complex networks and the behavior of techno-social systems.Vespignani has published 140+ peer reviewed papers in top rated scientific journals, including Nature, Science and PNAS that have accrued more than 29,000 citations according to the Google Scholar database. He is author, together with Romualdo Pastor-Satorras, of the book Evolution and Structure of the Internet. Together with Alain Barrat and Marc Barthelemy he has published in 2008 the monograph Dynamical Processes on Complex Networks.",M,2017,ALESSANDRO VESPIGNANI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
